"Time","D5 siloxane (370) (ppt)","Methanol (ppt)","Propyne (ppt)","Acetonitrile (ppt)","Acetaldehyde (ppt)","Formic Acid (ppt)","Butenes (ppt)","Acetone (ppt)","Acetic Acid (ppt)","Furan (ppt)","Isoprene (ppt)","MACR/MVK (ppt)","MEK (ppt)","Benzene (ppt)","Methylfurans (ppt)","Toluene (ppt)","Furaldehydes (ppt)","C8 Aromatics (ppt)","Methylfurfurals (ppt)","C9 Aromatics (ppt)","C10 Aromatics (ppt)","Monoterpenes (ppt)","Ozone (ppm)","Ambient Temperature","PM2.5 (ug/m3)"
2019-03-16 02:00:00,3.39785679332182,5380.3975,935.8733,99.3324054166667,1115.57938333333,589.812816666667,407.961079166667,1672.82962083333,908.412504166667,25.2678241666667,131.336477916667,63.2214075,152.296520833333,227.092304166667,25.5340908333333,277.071545833333,41.3450391666667,243.8336875,12.4729311666667,139.466691666667,73.2975308333333,171.512916666667,0.002,-5.1,20.9
2019-03-16 03:00:00,1.54072145461524,3968.4232,574.50364,88.8110643333333,833.102546666667,535.97008,300.032993333333,1255.64456666667,765.501773333333,23.5056266666667,93.944091,58.5584883333333,140.03324,188.884373333333,28.868171,211.065346666667,42.3946896666667,146.522963333333,13.0520858,84.0054193333333,44.1824283333333,134.603286,0.002,-5.6,11.5
2019-03-16 04:00:00,2.20782379421737,3530.38058333333,600.013229166667,96.1723975,842.468225,550.4144125,265.045429166667,1354.806875,629.164879166667,8.69991054166667,84.7041104166667,38.71077875,126.180566666667,159.966279166667,11.2345827083333,182.236408333333,15.0242783333333,137.333850833333,3.519970125,71.92325125,40.2455275,143.461629583333,0.001,-6.1,11.5
2019-03-16 05:00:00,3.13699122049511,3974.54883333333,922.905875,101.7752075,1005.59860416667,565.897716666667,356.16085,1822.93283333333,680.529754166667,7.54610154166667,109.4491375,42.8899683333333,137.6088,189.287416666667,12.5642433333333,248.986625,16.6270091666667,217.4518875,3.19432441958333,124.386699583333,59.8226954166667,156.320879166667,0.001,-6.1,9.5
2019-03-16 06:00:00,3.57244751487239,4560.66273333333,984.376703333333,101.496277666667,986.33252,447.199793333333,439.708693333333,1574.75433333333,639.703466666667,8.41266866666667,138.665203333333,50.1496253333333,142.49075,229.467203333333,12.8757679666667,303.332833333333,19.3413626666667,262.674736666667,2.24012995666667,148.25737,74.6871463333333,168.864946666667,0.001,-6.5,6.4
2019-03-16 07:00:00,3.72702480330071,5512.46941666667,1044.48549583333,97.5046829166667,1033.57315,430.162141666667,478.574454166667,1676.43220833333,619.987233333333,7.52374425,136.789154166667,49.9806058333333,145.137591666667,263.900429166667,10.8998972916667,354.691883333333,19.7774445833333,342.394083333333,1.95227875375,206.712091666667,98.1065341666667,163.5005875,0.001,-7.2,5.7
2019-03-16 08:00:00,3.36745650227083,7648.48245833333,1194.34507916667,103.59248625,1033.55002083333,457.40195,470.478104166667,1572.50175,608.798354166667,10.5476731666667,136.870020833333,54.3283604166667,144.115958333333,260.83415,15.88394875,352.893854166667,21.2792254166667,316.581975,4.417143625,179.993245833333,84.2624733333333,158.032691666667,0.001,-6.1,6.2
2019-03-16 09:00:00,3.819090769526,8107.58593333333,1223.16936,104.986215666667,1242.6133,685.027546666667,526.95485,2113.59996666667,747.562353333333,9.53031606666667,130.237813333333,56.1841493333333,149.751106666667,300.00738,15.5896093333333,380.1428,21.7571723333333,353.708876666667,3.81035786666667,203.282583333333,94.8566453333333,129.677316666667,0.002,-3.9,7.4
2019-03-16 10:00:00,2.53717062464018,6007.16220833333,841.716354166667,101.13339875,1125.3774375,888.795120833333,436.245795833333,1558.67591666667,796.559058333333,10.1242049166667,107.727195416667,55.63178,151.028804166667,264.071375,17.2107341666667,326.0943,20.6105554166667,302.047975,4.175333125,173.7858325,78.3877816666667,84.4103404166667,0.007,-1.4,9.8
2019-03-16 11:00:00,2.39718624064479,5752.02295833333,871.611245833333,102.424927916667,1282.819,1044.96552083333,424.343504166667,1788.60104166667,925.3863125,12.3862478333333,103.04247875,59.87398125,156.70925,260.995754166667,17.3289175,322.5219875,19.52155625,287.582775,4.834387125,163.94595,74.6693379166667,73.0535879166667,0.011,2.1,11.9
